Contact Type,Email,First Name,Last Name,Mailing City,Mailing Country,Mailing State/Province,Mailing Street,Mailing Zip/Postal Code,Organization Type,Phone
Educator,Nicholas.Chapman@nocrop.us,Nicholas,Chapman,Anaheim,USA,California,948-6716 Lacus Av.,6627,Schoolboard,
Educator,Tim.Randall@saisd.net,Tim,Randall,,,,,,Schoolboard,(610) 770-2855
,CHARLES.NORTH@gmail.com,CHARLES,NORTH,MC EWEN,United States,Tennessee,405-2195 Aliquam Rd.,05258-,One-to-One Individual,5919587645
Adult,Neil.Henderson@nocrop.us,Neil,Henderson,Anaheim,USA,California,405-2195 Aliquam Rd.,73285,Schoolboard,9251747930
Educator,Dominic.Short@saisd.net,Dominic,Short,,,,,,Schoolboard,(587) 449-4586
Adult,Stephanie.Campbell@dsbn.org,Stephanie,Campbell,Niagara Falls,Canada,ON,"P.O. Box 151, 5659 Dolor Ave",L6H 1N2,One-to-One Individual,(336)071-3105
Educator,Theresa.Baker@nocrop.us,Theresa,Baker,Anaheim,USA,California,"P.O. Box 151, 5659 Dolor Ave",44372,Schoolboard,
Adult,David.Lyman@afscholars.org,David,Lyman,,,,,90660,One-to-One Individual,
Adult,Nicholas.Paige@gmail.com,Nicholas,Paige,Citrus Heights,United States,CA,Ap #173-6177 Ac St.,38479,One-to-One Individual,(641)395-3706
Educator,Sebastian.Skinner@nocrop.us,Sebastian,Skinner,Anaheim,USA,California,"P.O. Box 311, 7235 Massa Ave",57539,Schoolboard,
,Gavin.Black@eastsidecatholic.org,Gavin,Black,Sammamish,United States,Washington,2835 Ligula. Rd.,90201,One-to-One Individual,7064632872
Adult,Neil.McDonald@microsoft.com,Neil,McDonald,Lisle,United States,IL,2835 Ligula. Rd.,12118,,(177) 710-9183
Adult,Molly.Miller@bethelsd.org,Molly,Miller,,,,,74619,School,
,Lauren.Smith@zulily.com,Lauren,Smith,Seattle,Canada,WA,5657 Imperdiet Av.,29312,One-to-One Individual,
Adult,Lillian.Bailey@gmail.com,Lillian,Bailey,Kitchener,Canada,ON,5657 Imperdiet Av.,N9G 4V8,One-to-One Individual,(735)491-5864
Adult,,Jane,Lewis,,,,,--None--,Government,(410) 941-7395 Ext.519
Adult,Irene.Black@yahoo.com,Irene,Black,,,,,3772,One-to-One Individual,
Adult,Emma.Avery@gmail.com,Emma,Avery,Littleton,United States,CO,758-2808 Gravida Av.,15042,One-to-One Individual,(273)581-0171
Educator,Wendy.Tucker@greenacre.surrey.sch.uk,Wendy,Tucker,Banstead,United Kingdom,Surrey,758-2808 Gravida Av.,SM1 6RA,School,
Adult,Angela.Kelly@gmail.com,Angela,Kelly,,,,,94281,One-to-One Individual,
Adult,Ava.Cameron@gmail.com,Ava,Cameron,Etobicoke,Canada,ON,4519 Sem. St.,M3V 4E5,One-to-One Individual,(446)871-3704
TBD,Lily.Pullman@gmail.com,Lily,Pullman,,,,,,Group,
,amanda.hamilton@rochester.rr.com,amanda,hamilton,rochester,United States,New York,1957 Et Rd.,22047,One-to-One Individual,2768199952
Adult,Benjamin.Abraham@cogeco.ca,Benjamin,Abraham,Thorold,Canada,ON,1957 Et Rd.,L2V 2J1,One-to-One Individual,(326) 651-0289
Educator,Oliver.Forsyth@gmail.com,Oliver,Forsyth,,,,,,School,(625) 855-0627
Educator,Rachel.Vance@wayne.k12.ia.us,Rachel,Vance,,United States,IA,,,One-to-One Individual,375287586
,Mary.Walsh@panoramabusiness.ca,Mary,Walsh,,,,,,One-to-One Individual,
Adult,Amy.King@hanac.org,Amy,King,,,,,12153,School,
Adult,Lisa.Rees@afterschoolallstars.org,Lisa,Rees,,,,,38483,One-to-One Individual,
Adult,Joan.Ball@hotmail.com,Joan,Ball,Victoria,Canada,BC,"P.O. Box 206, 5608 Nulla Rd.",V9S 7P5,One-to-One Individual,8689159457
Adult,Angela.Dowd@fossil.com,Angela,Dowd,,,,,,Corporate Foundation,
Educator,Andrew.Sanderson@yahoo.com,Andrew,Sanderson,,United States,NY,,,One-to-One Individual,6233010710
Adult,David.Mackenzie@gmail.com,David,Mackenzie,Toronto,Canada,ON,Ap #401-5389 Magna. Av.,M2G 6P3,,(889) 541-8226
Educator,Robert.MacDonald@hwbcymru.net,Robert,MacDonald,Gilwern,United Kingdom,Monmouthshire,Ap #401-5389 Magna. Av.,NP5 6AY,School,4403699608
Educator,Dominic.Randall@live.com,Dominic,Randall,,Argentina,Buenos Aires,,,One-to-One Individual,+0329045790114c
Adult,Kevin.Morrison@telus.net,Kevin,Morrison,White Rock,Canada,BC,"P.O. Box 310, 4812 Amet St.",V2B 1G0,One-to-One Individual,1460139032
Educator,Lauren.Morrison@cps.edu,Lauren,Morrison,,,,,,School,(709) 814-0564
Adult,Dominic.henderson@gmail.com,Dominic,henderson,,,,,58044,One-to-One Individual,
,Diane.Hughes@jerryljackson.com,Diane,Hughes,Tumbi Umbi,Australia,NSW,Ap #821-5978 Massa. Avenue,5309,One-to-One Individual,699085092
Educator,stephen.coleman@sd34.bc.ca,stephen,coleman,,,,,,School,(993) 998-3289
,Joshua.Peake@gmail.com,Joshua,Peake,Minneapolis,United States,Minnesota,"P.O. Box 928, 1148 Sit Road",78952,One-to-One Individual,2988523479
,Victor.Langdon@gmail.com,Victor,Langdon,Fairfield,United States,Ohio,"P.O. Box 928, 1148 Sit Road",30841,One-to-One Individual,7334527664
Educator,Gavin.Lambert@learn34.com,Gavin,Lambert,,,,,,School,(977) 272-9620
Adult,Karen.Hudson@icsfamily.org,Karen,Hudson,,,,,56137,One-to-One Individual,
,,Pippa,Thomson,Fairfield,United States,Ohio,"P.O. Box 244, 3630 Erat St.",1662,One-to-One Individual,4125734828
Adult,Rose.Mills@gmail.com,Rose,Mills,,,,,1308,Group,
Adult,Joan.Anderson@gmail.com,Joan,Anderson,,,,,8064,One-to-One Individual,
,Donna.Hart@oia-kaiserarb.com,Donna,Hart,Los Angeles,United States,California,2926 Pede Ave,72588,One-to-One Individual,3423722530
Adult,Jan.Dickens@gmail.com,Jan,Dickens,,,,,15171,Group,
Adult,Molly.davies@aol.com,Molly,davies,,,,,28498,One-to-One Individual,
Educator,Keith.Bower@yahoo.com,Keith,Bower,,United States,NY,,,One-to-One Individual,236-430-0314
Educator,Diana.Robertson@gmail.com,Diana,Robertson,Princes Town,Trinidad and Tobago,Princes Town,1303 Semper. St.,1,School,3-204-215-5336
Adult,Michelle.Jones@afterschoolallstars.org,Michelle,Jones,,,,,94709,One-to-One Individual,
Educator,Christopher.Short@yahoo.com,Christopher,Short,los angeles,United States,CA,441-5352 Porttitor St.,10872,One-to-One Individual,048-503-7091
Adult,Theresa.Ellison@gmail.com,Theresa,Ellison,,,,,,Group,
Adult,Liam.Walsh@schools.nyc.gov,Liam,Walsh,,,,,81374,One-to-One Individual,
,Gordon.Powell@yahoo.com,Gordon,Powell,Shreveport,United States,Louisiana,685-4420 Enim St.,55411,One-to-One Individual,1018992428
Educator,Jack.Buckland@pacsd.ca,Jack,Buckland,Prince Albert,Canada,SK,685-4420 Enim St.,S4V 6W9,School,645-765-1682
Adult,chloe.Morgan@gmail.com,chloe,Morgan,,,,,96147,One-to-One Individual,
TBD,Diane.Taylor@hotmail.com,Diane,Taylor,Cambridge,Canada,Ontario,Ap #787-3217 Sed Street,N5C 9B5,One-to-One Individual,351-213-8879
Educator,Melanie.Piper@biddenham.beds.sch.uk,Melanie,Piper,Greater London,United Kingdom,Bedfordshire,Ap #787-3217 Sed Street,MK94 7AZ,School,23043 285622
Adult,Phil.Quinn@icsfamily.org,Phil,Quinn,,,,,58585,One-to-One Individual,
Adult,Jennifer.Johnston@gmail.com,Jennifer,Johnston,,United States,MN,,56001,One-to-One Individual,7655574677
Educator,Penelope.Underwood@stopsleyhighschool.co.uk,Penelope,Underwood,Luton,United Kingdom,Luton,8514 Et Av.,LU9 5UX,School,
Adult,Connor.Wilkins@girlsincnyc.org,Connor,Wilkins,,,,,59609,One-to-One Individual,
,William.Martin@gmail.com,William,Martin,Rockville,United States,Maryland,6849 Turpis Avenue,11148,One-to-One Individual,7789150106
Educator,Amanda.MacLeod@leamanor.luton.sch.uk,Amanda,MacLeod,Luton,United Kingdom,Luton,"636-8940 Laoreet, Road",LU9 1TL,School,
,Christian.Ellison@gmail.com,Christian,Ellison,Ottawa,Canada,Ontario,"636-8940 Laoreet, Road",K8H 6S9,One-to-One Individual,933 0027723
Educator,Colin.Wallace@pacificacademy.net,Colin,Wallace,,Canada,BC,,,One-to-One Individual,7338195636
Corporate,Leah.Powell@rbc.com,Leah,Powell,London,UK,,,,Corporate,
Adult,Victor.Taylor@gmail.com,Victor,Taylor,,,,,43551,One-to-One Individual,
,Michelle.Ball@yahoo.com,Michelle,Ball,Castaic,United States,California,9379 At St.,62845,One-to-One Individual,2479743213
Corporate,Jasmine.Lyman@specialolympicsusagames.org,Jasmine,Lyman,,,,,,Group,
Adult,Christian.Lewis@epsnj.org,Christian,Lewis,,,,,2000,One-to-One Individual,
,Diane.Scott@comcast.net,Diane,Scott,Laurel,United States,Delaware,Ap #453-287 Dictum Av.,30067,One-to-One Individual,8312213214
Educator,Carol.Gibson@c2ken.net,Carol,Gibson,Derry,United Kingdom,Londonderry,Ap #453-287 Dictum Av.,BT92 0PJ,School,8028162372
Adult,rose.sanderson@epsnj.org,rose,sanderson,,,,,4357,One-to-One Individual,
Educator,Donna.Pullman@gmail.com,Donna,Pullman,,Canada,ON,,,One-to-One Individual,246-597-2413
Educator,Irene.Knox@eics.ab.ca,Irene,Knox,,,,,,School,(288) 358-5688
Adult,Sally.James@aol.com,Sally,James,,,,,55440,One-to-One Individual,156-898-6443
TBD,Stephen.Lee@yahoo.ca,Stephen,Lee,Port Elgin,Canada,Ontario,8033 Eleifend St.,N1H9C9,One-to-One Individual,047-164-1728
Adult,Samantha.Davies@gmail.com,Samantha,Davies,,,,,,Group,(898) 003-1846
Adult,Donna.Mackenzie@godhelpinghand.net,Donna,Mackenzie,,United States,IN,,4706,One-to-One Individual,134-654-2546
,Fiona.Reid@gmail.com,Fiona,Reid,Franklin,United States,Indiana,7599 Eu Ave,47586,One-to-One Individual,777-189-6416
Adult,Anna.Sutherland@gmail.com,Anna,Sutherland,,,,,48300,Group,
,Madeleine.Parr@att.net,Madeleine,Parr,Piedmont,United States,South Carolina,735-7132 Quisque Rd.,49346,One-to-One Individual,9674440004
,Abigail.Ellison@mac.com,Abigail,Ellison,San Francisco,United States,California,735-7132 Quisque Rd.,53553,One-to-One Individual,1262055929
Corporate,Wendy.Springer@rwdi.com,Wendy,Springer,,,,,,Corporate,(076) 162-0910 x6137
Youth,lillian.rees@gmail.com,lillian,rees,,United States,CA,,,One-to-One Individual,763602306
Educator,katherine.morrison@hotmail.com,katherine,morrison,,Lebanon,beirut,,,One-to-One Individual,
Adult,Jake.Oliver@ifiber.tv,Jake,Oliver,,,,,34453,Group,
Adult,Carol.Black@purelements.org,Carol,Black,,,,,49380,One-to-One Individual,
,piers.butler@sbcglobal.net,piers,butler,moorpark,United States,California,Ap #108-6229 Nisi. Street,15563,One-to-One Individual,856714400
TBD,Austin.Hudson@sd33.bc.ca,Austin,Hudson,,,,,,School Group,118-743-8557
Adult,LISA.NASH@hotmail.com,LISA,NASH,,,,,5375,One-to-One Individual,
,Eric.Walker@hotmail.com,Eric,Walker,Trent Lakes,Canada,Ontario,"P.O. Box 996, 3269 Malesuada. St.",K6M 3A4,One-to-One Individual,300 001 7075
Adult,Simon.Edmunds@schools.nyc.gov,Simon,Edmunds,,,,,45779,School Group,
Adult,ROBERT.JONES@gmail.com,ROBERT,JONES,,,,,9692,One-to-One Individual,3086881999
Adult,Maria.Wallace@yahoo.com,Maria,Wallace,Waterford,United States,Wisconsin,"Ap #569-7067 Pede, St.",23295,One-to-One Individual,8005334205
Educator,Heather.Terry@edu.csdhr.qc.ca,Heather,Terry,,Canada,QC,,,School,611-316-9306
Adult,Nicola.Dyer@epsnj.org,Nicola,Dyer,,,,,606,One-to-One Individual,
,Brandon.Rees@marshall.edu,Brandon,Rees,Bellbrook,United States,Ohio,"3036 Vulputate, St.",70856,One-to-One Individual,5945506772
Adult,Neil.Rutherford@palmdalesd.org,Neil,Rutherford,,,,,75320,School,
Adult,Sebastian.ball@purelements.org,Sebastian,ball,,,,,47493,One-to-One Individual,
Educator,Jane.Henderson@nbed.nb.ca,Jane,Henderson,Shédiac,Canada,NB,689-7620 Eget Road,E5P 0C5,One-to-One Individual,1-800-973-1395
Educator,Ava.Metcalfe@cdsbeo.o.ca,Ava,Metcalfe,Smiths Falls,Canada,ON,689-7620 Eget Road,K9A 2J6,School,161-665-5032
Adult,Connor.Sharp@epsnj.org,Connor,Sharp,,,,,5712,One-to-One Individual,
,lisa.randall@gmail.com,lisa,randall,miami,United States,Florida,857-9636 Integer Ave,22773,One-to-One Individual,5834363796
Educator,Maria.Edmunds@cdsbeo.on.ca,Maria,Edmunds,Smiths Falls,Canada,ON,857-9636 Integer Ave,K0A 9J9,School,021-257-7603
Youth,Christopher.Gibson@jamesburg.com,Christopher,Gibson,,,,,2521,One-to-One Individual,
TBD,Liam.Oliver@yahoo.com,Liam,Oliver,Schaumburg,United States,Illinois,Ap #960-9391 Mauris Av.,98106,One-to-One Individual,4603298408
TBD,Julia.Piper@surreyschools.ca,Julia,Piper,,,,,,School Group,433-587-6619
Adult,Abigail.Rees@yahoo.com,Abigail,Rees,,,,,6352,One-to-One Individual,
,diane.martin@gmail.com,diane,martin,medley,United States,Florida,"P.O. Box 641, 2112 In Avenue",90219,One-to-One Individual,1915088284
Adult,Carol.Hodges@yahoo.com,Carol,Hodges,,,,,88061,Group,
Adult,Jessica.Stewart@yahoo.com,Jessica,Stewart,,,,,1735,One-to-One Individual,
,Jake.Lawrence@cogeco.ca,Jake,Lawrence,St. Cahtarines,Canada,Ontario,Ap #335-5501 Mi. St.,L7M 3K3,One-to-One Individual,778-954-1182
Adult,Elizabeth.Bond@gmail.com,Elizabeth,Bond,,,,,15810,Group,
,Andrew.MacLeod@comcast.net,Andrew,MacLeod,Burnsville,United States,Minnesota,"P.O. Box 755, 9916 Magna. Road",49716,One-to-One Individual,1918861541
Youth,Owen.Howard@hotmail.com,Owen,Howard,Aurora,CA,Ontario,"P.O. Box 755, 9916 Magna. Road",L8G3C7,One-to-One Individual,69945464519
Educator,Victoria.Slater@sunrisesd.ca,Victoria,Slater,,Canada,MB,,,School Group,648 509 8506
Adult,Dan.Paterson@gmail.com,Dan,Paterson,,,,,23701,One-to-One Individual,
,Molly.White@gmail.com,Molly,White,Hensley,United States,Arkansas,1132 Mauris St.,80442,One-to-One Individual,2077852329
Educator,lily.alsop@cbe.ab.ca,lily,alsop,calgary,Canada,AB,1132 Mauris St.,t6a3y8,School Group,7370300257
Adult,Olivia.Walsh@buildon.org,Olivia,Walsh,,United States,NY,,95543,One-to-One Individual,
Adult,Gordon.North@schools.nyc.gov,Gordon,North,,United States,NY,,,One-to-One Individual,2638854830
TBD,Blake.Allan@rccdsb.edu.on.ca,Blake,Allan,,,,,,School Group,9950878131
Adult,Heather.Turner@aol.com,Heather,Turner,,,,,74200,One-to-One Individual,
Educator,Ryan.Ferguson@yakimaschools.org,Ryan,Ferguson,YAKIMA,Canada,Prince Edward Island,Ap #773-1148 Sed St.,40602,One-to-One Individual,048-781-6678
Educator,Nicola.Paige@we.org,Nicola,Paige,,Canada,BC,,,School Group,(713) 668-2065
Adult,Joan.Tucker@gmail.com,Joan,Tucker,,,,,18568,One-to-One Individual,
Educator,Peter.James@educarefoundation.com,Peter,James,Los Angeles,United States,CA,"P.O. Box 465, 2485 Ac Avenue",74567,One-to-One Individual,(627) 761-7572
Adult,Kevin.Roberts@yahoo.com,Kevin,Roberts,,,,,44902,School,
TBD,Brian.Springer@gmail.com,Brian,Springer,,,,,,,9629902741
,Tracey.Mills@meganeaston.ca,Tracey,Mills,Uxbridge,Canada,Ontario,780-9473 Libero Ave,L6P 3Z2,One-to-One Individual,765-024-4511
Educator,Blake.Graham@pusd.org,Blake,Graham,Diamond Bar,United States,CA,780-9473 Libero Ave,91228,School,135-040-7405
Educator,Max.Lambert@gmail.com,Max,Lambert,,United States,NY,,,One-to-One Individual,3626167857
,Gordon.Berry@hotmail.com,Gordon,Berry,Sidney,Canada,British Columbia,"903-5426 Elementum, Road",V7L0S3,One-to-One Individual,6648477886
Educator,Jasmine.Peake@staff.hcdsb.org,Jasmine,Peake,,,,,,School Group,705 978 1603
Adult,Ella.Campbell@laloop.com,Ella,Campbell,,,,,,,
Adult,Charles.Powell@hdsb.ca,Charles,Powell,Georgetown,Canada,Ontario,3617 Velit St.,L2G 1S1,One-to-One Individual,1149019764
TBD,Paul.Dickens@fsd.ab.ca,Paul,Dickens,,,,,,School Group,
TBD,Andrew.Simpson@mts.net,Andrew,Simpson,,,,,,,7538969854
,Heather.Butler@live.ca,Heather,Butler,welland,Canada,Ontario,943-641 Tellus Av.,l7b3v5,One-to-One Individual,8158342384
Educator,Tim.Bond@rifthouseschool.org.uk,Tim,Bond,Harltepool,United Kingdom,Durham,943-641 Tellus Av.,TS31 5JY,School,
Adult,Melanie.Bailey@aol.com,Melanie,Bailey,,,,,47466,One-to-One Individual,
,Kevin.Churchill@yahoo.com,Kevin,Churchill,Wauconda,United States,Illinois,181-6665 Arcu. Avenue,73247,One-to-One Individual,877-767-5803
Educator,Olivia.Manning@ed.amdsb.ca,Olivia,Manning,,Canada,ON,,,School,223-957-7065
Educator,Adam.Duncan@northrockland.org,Adam,Duncan,,United States,NY,,,One-to-One Individual,5858771463
Youth,Joan.Hart@icloud.com,Joan,Hart,Dowling,Canada,Ontario,Ap #997-3811 Non Road,P1M 1R1,One-to-One Individual,535-928-0768
Educator,Ryan.Langdon@bwdsb.on.ca,Ryan,Langdon,Walkerton,Canada,ON,Ap #997-3811 Non Road,N4G7V5,School,660-746-2293
Educator,Sophie.MacDonald@ccsdistrict.org,Sophie,MacDonald,,United States,OH,,,One-to-One Individual,143-898-6032
Educator,Donna.Dyer@perris.k12.ca.us,Donna,Dyer,,United States,CA,,,One-to-One Individual,7333312616
Educator,Fiona.Walker@nouvelon.ca,Fiona,Walker,Blind River,Canada,ON,"P.O. Box 107, 9691 Tempus Road",P0R 6B7,School,5008625262
Adult,,Trevor,Mathis,Winnetka,United States,IL,"P.O. Box 399, 1412 Risus. Avenue",41989-,One-to-One Individual,
,Evan.Ferguson@brookfield.com,Evan,Ferguson,Toronto,Canada,M5C 3G7,"P.O. Box 399, 1412 Risus. Avenue",ON,One-to-One Individual,
Educator,Emily.McDonald@csdceo.org,Emily,McDonald,,Canada,ON,,,School,867-8900936
Adult,Piers.Dyer@gmail.com,Piers,Dyer,,,,,52040,One-to-One Individual,
Adult,Richard.Ferguson@sijcc.com,Richard,Ferguson,,United States,NY,,,One-to-One Individual,6231235326
Educator,Alison.Dickens@csdceo.org,Alison,Dickens,,Canada,ON,,,School,8012594163
Adult,Julia.Ince@hdsb.ca,Julia,Ince,Georgetown,Canada,Ontario,"P.O. Box 108, 4449 Lectus, Road",L1G 8S4,One-to-One Individual,
,boris.harris@salesforce.com,boris,harris,toronto,Canada,Ontario,"P.O. Box 108, 4449 Lectus, Road",m8j4r2,One-to-One Individual,5680219080
Educator,Samantha.Tucker@csdceo.org,Samantha,Tucker,,Canada,ON,,,School,383 922 2147
,Colin.Hemmings@gmail.com,Colin,Hemmings,Brampton,Canada,Ontario,874-3108 Lacus. Road,L1Y 3G2,One-to-One Individual,7385443209
Adult,Alexandra.Parsons@hotmail.com,Alexandra,Parsons,Caledon,Canada,ON,,L8E6S9,One-to-One Individual,(361) 318-9824
Educator,Claire.MacLeod@csdceo.org,Claire,MacLeod,,Canada,ON,,,School,4097172347
,Dan.Underwood@gmail.com,Dan,Underwood,Brooklyn,United States,New York,2239 Dolor. Rd.,32191,One-to-One Individual,2630096488
Adult,Warren.Piper@hotmail.com,Warren,Piper,Waterloo,Canada,Ontario,2239 Dolor. Rd.,N9K 7T7,One-to-One Individual,9057420051
Educator,Andrea.Gray@csdceo.org,Andrea,Gray,,Canada,ON,,,School,518 825-6912
Adult,Joshua.Stewart@outlook.com,Joshua,Stewart,New York,United States,NY,Ap #294-8048 Luctus Ave,5066,One-to-One Individual,(802)052-1753
,Joshua.Morgan@ewingandclark.com,Joshua,Morgan,Seattle,United States,Washington,Ap #294-8048 Luctus Ave,82282,One-to-One Individual,2977044388
Adult,Owen.Dyer@csdceo.org,Owen,Dyer,,Canada,ON,,,School,576 513-5310
Adult,Justin.Morrison@sequoia.com,Justin,Morrison,Mountain View,United States,CA,Ap #858-3851 Ultrices Road,78424,One-to-One Individual,(534)881-9206
,Dylan.Dickens@yahoo.com,Dylan,Dickens,Glendale,United States,California,Ap #858-3851 Ultrices Road,23747,One-to-One Individual,38959642147
Educator,Adrian.Henderson@csdceo.org,Adrian,Henderson,,Canada,ON,,,School,548 442-5343
Adult,Charles.Peters@gmail.com,Charles,Peters,Pickering,Canada,ON,"P.O. Box 302, 9962 Non, Avenue",L1V 4C7,,445-212-0953
,Robert.Churchill@sasktel.net,Robert,Churchill,Saskatoon,Canada,Saskatchewan,"P.O. Box 302, 9962 Non, Avenue",S4N0V3,One-to-One Individual,408-000-9796
Educator,Wendy.Forsyth@dsbn.org,Wendy,Forsyth,,Canada,ON,,L7N 9S2,School,411-785-4326
Adult,Robert.Underwood@gmail.com,Robert,Underwood,Richmond Hill,Canada,ON,"P.O. Box 385, 4469 Ipsum Avenue",L9C 6W7,One-to-One Individual,(875)534-8601
,Gordon.Duncan@yahoo.com,Gordon,Duncan,Forest Hills,United States,New York,"P.O. Box 385, 4469 Ipsum Avenue",76231,One-to-One Individual,4967494506
Educator,Liam.Nolan@granderie.ca,Liam,Nolan,,Canada,ON,,,School,931792722
,Anthony.Bond@mac.com,Anthony,Bond,Dundas,Canada,ON,7864 Donec Ave,L6H 4A7,One-to-One Individual,(497) 866-5884 judy
,Alexander.Blake@gmail.com,Alexander,Blake,Middletown,United States,Rhode Island,7864 Donec Ave,2208,One-to-One Individual,2045824991
Educator,Adam.McLean@staff.hcdsb.org,Adam,McLean,,,,,,School,583 092 7749
Educator,Joshua.Cornish@ddsb.ca,Joshua,Cornish,Oshawa,Canada,Ontario,"Ap #220-4470 Elementum, St.",L1H 6E6,One-to-One Individual,4294323566
,Amy.Ross@outlook.com,Amy,Ross,Fort Worth,United States,Texas,"Ap #220-4470 Elementum, St.",17736,One-to-One Individual,1872909872
Educator,Chloe.Lyman@hwcdsb.ca,Chloe,Lyman,,Canada,ON,,,School,617-240-2604
,christian.butler@yobe.ca,christian,butler,Chelsea,Canada,Quebec,"5645 Placerat, Road",J3B5Z8,One-to-One Individual,7871737389
,Joan.Sanderson@yahoo.com,Joan,Sanderson,Huntingdon Valley,United States,Pennsylvania,"5645 Placerat, Road",52973,One-to-One Individual,3842622034
Educator,Luke.Harris@kmts.ca,Luke,Harris,,,,,,School,217 305 9905
,Sophie.Reid@bellsouth.net,Sophie,Reid,Atlanta,United States,Georgia,"P.O. Box 774, 9314 Egestas. Av.",70251,One-to-One Individual,(987) 371-6008
,Carolyn.Sutherland@gmail.com,Carolyn,Sutherland,Brooklyn,United States,New York,"P.O. Box 774, 9314 Egestas. Av.",79145,One-to-One Individual,7634773585
Educator,Joanne.Campbell@bannockburn.ca,Joanne,Campbell,,Canada,ON,,,School,(908) 949-8667
,Chloe.Short@aol.com,Chloe,Short,Ypsilanti,United States,Michigan,542-5700 Sed Street,56970,One-to-One Individual,3352601167
,Kimberly.Sutherland@icloud.com,Kimberly,Sutherland,Spruce Grove,Canada,Alberta,787-9265 Euismod Avenue,T2Y 1A3,One-to-One Individual,6134250877
Educator,Joseph.Paterson@braemarcollege.com,Joseph,Paterson,Toronto,Canada,ON,272-1180 Ac Ave,M2T1R0,School,121-749-8751
,Peter.Kelly@aol.com,Peter,Kelly,Bedford,United States,New York,584-1120 Vel St.,24363,One-to-One Individual,501029862
,Kevin.Terry@aol.com,Kevin,Terry,Milwaukie,United States,Oregon,584-1120 Vel St.,87406,One-to-One Individual,684-801-8016
TBD,Abigail.Poole@tcphs.com,Abigail,Poole,,,,,,School,026-875-0302
,Grace.Turner@surreyschools.ca,Grace,Turner,Surrey,Canada,British Columbia,6604 Tincidunt Avenue,V9A 4R6,One-to-One Individual,5983045404
,Vanessa.Roberts@gmail.com,Vanessa,Roberts,Edmonton,Canada,Alberta,8903 Natoque Street,T8M 6J7,One-to-One Individual,8 554 632 4609
Educator,Amanda.Hardacre@kprdsb.ca,Amanda,Hardacre,Douro Dummer,Canada,ON,"563 Pede, Rd.",K4L5A2,School,4575144453
,Katherine.Allan@gmail.com,Katherine,Allan,La Plata,United States,Maryland,"563 Pede, Rd.",38832,One-to-One Individual,8387114233
Educator,Claire.Burgess@allen-stevenson.org,Claire,Burgess,,United States,NY,,,One-to-One Individual,648-105-4322
Educator,Michelle.Mills@kprdsb.ca,Michelle,Mills,,Canada,ON,,,School,646.363.0855
TBD,Joanne.Bell@live.com,Joanne,Bell,Jamesburg,United States,New Jersey,Ap #835-295 Aenean Street,6393,One-to-One Individual,7812539443
TBD,Nathan.Hudson@hotmail.com,Nathan,Hudson,Toronto,Canada,Ontario,Ap #835-295 Aenean Street,M6c3t8,One-to-One Individual,3339457148
Educator,Liam.Clarkson@lkdsb.net,Liam,Clarkson,,Canada,ON,,,School,3574445515
Youth,Joanne.Howard@gmail.com,Joanne,Howard,,United States,CA,,,One-to-One Individual,8326768486
,abigail.gray@yahoo.com,abigail,gray,waxhaw,United States,North Carolina,Ap #546-4202 Integer Avenue,88370,One-to-One Individual,6922222486
TBD,Carolyn.Poole@lkdsb.net,Carolyn,Poole,,,,,,School,9130481293
Youth,Faith.Mathis@gmail.com,Faith,Mathis,,United States,CA,,,One-to-One Individual,4246390054
TBD,Nicola.Nolan@sbcglobal.net,Nicola,Nolan,Lakewood,United States,Ohio,"675-9138 A, Avenue",21693,One-to-One Individual,9831360839
TBD,Karen.Wilkins@ldcsb.ca,Karen,Wilkins,,,,,,School,7245238797
Educator,boris.short@redclay.k12.de.us,boris,short,Wilmington,United States,DE,,,One-to-One Individual,3356253868
,Rose.Slater@gmail.com,Rose,Slater,,,,,,One-to-One Individual,
Educator,Samantha.Duncan@ncdsb.com,Samantha,Duncan,Grimsby,Canada,ON,Ap #124-5251 Lobortis St.,L2M9C4,School,420-882-2864
Adult,Ruth.Howard@trinitypawling.org,Ruth,Howard,,United States,NY,,,One-to-One Individual,6860546288
,Fiona.Dyer@outlook.com,Fiona,Dyer,Montreal,Canada,Quebec,Ap #885-4403 Et Road,H9V 5S7,One-to-One Individual,2139232646
Educator,Kimberly.Morgan@ncdsb.com,Kimberly,Morgan,,Canada,ON,,,School,133-345-5243
,Ian.Rees@gmail.com,Ian,Rees,Unionville,United States,Connecticut,"P.O. Box 223, 9348 Scelerisque Av.",9885,One-to-One Individual,762-083-7442
,andrew.churchill@shaw.ca,andrew,churchill,calgary,Canada,Alberta,"P.O. Box 223, 9348 Scelerisque Av.",t7a 8a4,One-to-One Individual,5025434971
Educator,Dylan.Dyer@peelsb.com,Dylan,Dyer,,,,,,School,939 095 0853
Adult,Adam.White@rogers.com,Adam,White,Ottawa,Canada,Ontario,Ap #257-2027 Odio. Rd.,k4a 5n5,One-to-One Individual,5411245057
Adult,Jason.Stewart@sympatico.ca,Jason,Stewart,Toronto,Canada,ON,Ap #667-1760 Duis Rd.,M6A 0T7,,(319) 431-2282
Educator,Katherine.Davies@peelsb.com,Katherine,Davies,Mississauga,Canada,ON,2112 Nulla Road,L7X 2H6,School,(472) 162-1386
,Victoria.Ogden@gmail.com,Victoria,Ogden,Saint-Lambert,CA,QC,7595 Libero. St.,J3S 3X7,One-to-One Individual,1706665015
